class:method:signature:line,sbfl_score
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:472,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:498,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:495,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:492,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:484,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:487,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:489,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createFloat:(Ljava/lang/String;)Ljava/lang/Float;:628,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createFloat:(Ljava/lang/String;)Ljava/lang/Float;:631,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createNumber:(Ljava/lang/String;)Ljava/lang/Number;:452,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createDouble:(Ljava/lang/String;)Ljava/lang/Double;:647,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createBigInteger:(Ljava/lang/String;)Ljava/math/BigInteger;:697,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:isAllZeros:(Ljava/lang/String;)Z:606,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createDouble:(Ljava/lang/String;)Ljava/lang/Double;:644,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createBigInteger:(Ljava/lang/String;)Ljava/math/BigInteger;:694,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createBigDecimal:(Ljava/lang/String;)Ljava/math/BigDecimal;:717,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createBigDecimal:(Ljava/lang/String;)Ljava/math/BigDecimal;:714,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:createBigDecimal:(Ljava/lang/String;)Ljava/math/BigDecimal;:710,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:isAllZeros:(Ljava/lang/String;)Z:609,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:isAllZeros:(Ljava/lang/String;)Z:610,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:isAllZeros:(Ljava/lang/String;)Z:611,0.3333333333333333
org.apache.commons.lang3.math.NumberUtils:isDigits:(Ljava/lang/String;)Z:1291,0.25
org.apache.commons.lang3.math.NumberUtils:isDigits:(Ljava/lang/String;)Z:1288,0.25
org.apache.commons.lang3.math.NumberUtils:isDigits:(Ljava/lang/String;)Z:1296,0.25
org.apache.commons.lang3.math.NumberUtils:isDigits:(Ljava/lang/String;)Z:1292,0.25
org.apache.commons.lang3.math.NumberUtils:createLong:(Ljava/lang/String;)Ljava/lang/Long;:681,0.25
org.apache.commons.lang3.math.NumberUtils:createLong:(Ljava/lang/String;)Ljava/lang/Long;:678,0.25
org.apache.commons.lang3.StringUtils:isBlank:(Ljava/lang/CharSequence;)Z:230,0.08333333333333333
org.apache.commons.lang3.StringUtils:isBlank:(Ljava/lang/CharSequence;)Z:234,0.07142857142857142
org.apache.commons.lang3.StringUtils:isBlank:(Ljava/lang/CharSequence;)Z:232,0.05555555555555555
org.apache.commons.lang3.StringUtils:isBlank:(Ljava/lang/CharSequence;)Z:233,0.05555555555555555
org.apache.commons.lang3.StringUtils:isBlank:(Ljava/lang/CharSequence;)Z:229,0.05
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:41,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:43,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:51,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:45,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:47,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:49,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:53,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:55,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:57,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:59,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:61,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:63,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:67,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:69,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:71,0.017543859649122806
org.apache.commons.lang3.math.NumberUtils:<clinit>:()V:73,0.017543859649122806
